CCTCTEP,Commission canadienne des transports# comité des transports par eau—permis,Can,1976-1976
CCTCTO,Commission canadienne des transports# comité des télécommunications—ordonnances,Can,1975-1976
CCTO,Commission canadienne des transports—ordonnances,Can,1972-1987
CDB-C,Collection de decisions du Bas-Canada,Can (QC),1847-1 891
CEB,Canadian Employment Benefits and Pension Guide Reports,Can,1995-
CEDH,Cour europeenne des Droits de l'Homme,EU / UE,1960-
CEDH (Sér A),Publications de Ia Cour europeenne des Droits de l'Homme : Série A: Arréts et decisions,EU / UE,1960-1999
CEDH (Sér B),Publications de Ia Cour europeenne des Droits de I'Homme: Série B : Memoires# plaidoiries et documents,EU / UE,1961-1999
CEGSB,Crown Employees Grievance Settlement Board Decisions,Can (ON),1976-1 997
CELR,Canadian Environmental Law Reports,Can,1978-1985
CELR (NS),Canadian Environmental Law Reports,Can,1986-
CER,Canadian Customs and Excise Reports,Can,1980-1 989
CFLC,Canadian Family Law Cases,Can,1959-1977
CFP,Recueil des decisions des cornités d'appel de Ia fonction publique,Can (QC),1980-1989
Ch,Law Reports# Chancery,UK? R-U,1891-
ChApp,Law Reports# Chancery Division,UK? R-U,1865-1874
Ch CR,Chancery Chambers Reports,Can (ON),1857-1872
Ch Ca,Cases in Chancery (ER vol 22),UK? R-U,1660-1698
Ch D,Law Reports# Chancery Division,UK? R-U,1875-1 890
Ch R,Chancery Reports (ER vol 21),UK? R-U,1625-17 10
Chan Cas,Chancery Cases (ER vol 22),UK? R-U,1615-1710
Chit,Chitty's Practice Reports# King's Bench,UK/R-U,1770-1822
Choyce Ca,Choyce Cases in Chancery (ER vol 21),UK? R-U,1557-1 606
CHRR,Canadian Human Rights Reporter,Can,1980-
CICB,Criminal Injuries Compensation Board Decisions,Can (ON),197 1-1989
CIJ Mémoires,Cour internationale de justice: Mémoires# plaidoiries et documents,Int'l,1946-
CIJ Rec,Cour internationale dejustice : Recueil des arrêts# avis consultat ifs et ordonnances,Int'l ,1946-
CIPOO (M),Commissaire a I'information eta Ia protection de Ia vie privee# Ontario# Orders# M Series,Can (ON),1988-1998
CIPOO (P),Commissaire a I'information eta a protection de Ia vie privee# Ontario# Orders# P Series,Can (ON), 1992-1 998
CIPOS,Commissaire a l'information eta Ia protection de Ia vie privee# Ontario# Sommaires,Can (ON), 1990-1 992
CIPR,Canadian Intellectual Property Reports ,Can, 1984-1 990
CIRB,Canada Industrial Relations Board# Reasons for Decision,Can, 1999-
CJCE,Recueil de Ia jurisprudence de Ia cour et du tribunal de premiere instance# Cour de justice des communautés européennes,EU / UE, 1954-
Cl & F,Clark & Finnelly's Reports# House of Lords (ER vols 6-8),UK! R-U, 1831-1846
CLAS,Canadian Labour Arbitration Summaries ,Can, 1986-
CLASN,Criminal Law Aid Scheme News ,Sing,
CLD,Commercial Law Digest ,Can, 1987-1 990
CLL,Canadian Current Law: Canadian Legal Literature,Can, 1991-
CLLC,Canadian Labour Law Cases ,Can, 1944-
CLLR,Canadian Labour Law Reporter ,Can, 1982-
CLP,Decisions de Ia Commission des lesions professionnelles,Can (QC), 1998-
CLR,Commonwealth Law Reports ,Austl, 1903-
CLR,Construction Law Reports ,Can, 1983-1 992
